Wed Mar 18 23:23:45 2020
,
47,
 1W,  2W,  3W,  4W,  5W,  6W,  7W,  8W,  9W,  1B,  2B,  3B,  4B,  5B,  6B,  7B,  8B,  9B,  1T,  2T,  3T,  4T,  5T,  6T,  7T,  8T,  9T, EST, STH, WST, NTH, BAI,  FA, ZHO, 
1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
2, 3, 3, 4, 1, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 1, 1, 3, 3, 1, 4, 4, 2, 1, 
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
 1W,  3W,  5W,  7W,  8W,  2B,  3B,  4B,  3T,  4T,  5T,  7T,  8T,  9T, 

   ,0
 f[1],0,0,18,2308,132058,4657012,116125436,2211379064,33778101916,427898344813,
 f[2],0,43,5186,267520,8478618,189451334,3218552521,43766318700,495434856137,4815252152479,
 f[3],0,64,7278,369373,11639543,258913571,4358565055,58121407120,635266955511,5850402420038,
 f[4],0,0,0,0,0,0,0,0,0,0,
 f[5],0,0,0,0,0,0,0,0,0,0,
 f[6],0,0,0,0,0,0,0,0,0,0,
 1W,1
 f[1],0,0,0,543,47133,1987610,54501411,1100043180,17539187862,230988692520,
 f[2],0,0,675,59385,2562347,71125056,1424428301,22049399748,277053773278,2933509786038,
 f[3],0,64,7335,378592,12203106,279051874,4846558891,66796331664,754338852746,7161586995517,
 f[4],0,0,0,0,0,0,0,0,0,0,
 f[5],0,0,0,0,0,0,0,0,0,0,
 f[6],0,0,0,0,0,0,0,0,0,0,
 3W,1
 f[1],0,0,12,1590,93975,3395996,85920846,1646128652,25175554540,319331911233,
 f[2],0,14,1696,98405,3589465,92022581,1769771577,26751176942,329937965458,3427259073862,
 f[3],0,19,2530,155232,5847449,152604073,2957540872,44607733869,542280305889,5465223375214,
 f[4],0,0,0,0,0,0,0,0,0,0,
 f[5],0,0,0,0,0,0,0,0,0,0,
 f[6],0,0,0,0,0,0,0,0,0,0,
 5W,1
 f[1],0,0,18,2293,131212,4620625,114618394,2164130580,32740567999,411557545573,
 f[2],0,32,4130,222130,7288404,168129646,2939177969,40904144808,470361660695,4606227199209,
 f[3],0,21,2678,157776,5772150,147369353,2805280764,41649393560,499134577513,4966256954630,
 f[4],0,0,0,0,0,0,0,0,0,0,
 f[5],0,0,0,0,0,0,0,0,0,0,
 f[6],0,0,0,0,0,0,0,0,0,0,
 7W,1
 f[1],0,0,12,1656,101834,3822852,100264995,1985277108,31242691201,405454150459,
 f[2],0,20,2484,144700,5244277,132809458,2514814543,37343140797,451449414675,4584246142594,
 f[3],0,12,1658,104640,4049165,108505951,2155406979,33218070457,411046611001,4200099685713,
 f[4],0,0,0,0,0,0,0,0,0,0,
 f[5],0,0,0,0,0,0,0,0,0,0,
 f[6],0,0,0,0,0,0,0,0,0,0,
 8W,1
 f[1],0,0,12,1632,98886,3667875,95391044,1879244554,29501251117,382409666793,
 f[2],0,28,3608,200476,6818112,162298913,2908347241,41209700181,479621039410,4731741735508,
